,Monthly beer production,1st Diff,Seasonality,forecast
1956-01-01,93.2,,,
1956-02-01,96.0,2.799999999999997,,
1956-03-01,95.2,-0.7999999999999972,,
1956-04-01,77.1,-18.10000000000001,,
1956-05-01,70.9,-6.199999999999989,,
1956-06-01,64.8,-6.1000000000000085,,
1956-07-01,70.1,5.299999999999997,,
1956-08-01,77.3,7.200000000000003,,
1956-09-01,79.5,2.200000000000003,,
1956-10-01,100.6,21.099999999999994,,
1956-11-01,100.7,0.10000000000000853,,
1956-12-01,107.1,6.3999999999999915,,
1957-01-01,95.9,-11.199999999999989,2.700000000000003,
1957-02-01,82.8,-13.100000000000009,-13.200000000000003,
1957-03-01,83.3,0.5,-11.900000000000006,
1957-04-01,80.0,-3.299999999999997,2.9000000000000057,
1957-05-01,80.4,0.4000000000000057,9.5,
1957-06-01,67.5,-12.900000000000006,2.700000000000003,
1957-07-01,75.7,8.200000000000003,5.6000000000000085,
1957-08-01,71.1,-4.6000000000000085,-6.200000000000003,
1957-09-01,89.3,18.200000000000003,9.799999999999997,
1957-10-01,101.1,11.799999999999997,0.5,
1957-11-01,105.2,4.1000000000000085,4.5,
1957-12-01,114.1,8.899999999999991,7.0,
1958-01-01,96.3,-17.799999999999997,0.3999999999999915,
1958-02-01,84.4,-11.899999999999991,1.6000000000000085,
1958-03-01,91.2,6.799999999999997,7.900000000000006,
1958-04-01,81.9,-9.299999999999997,1.9000000000000057,
1958-05-01,80.5,-1.4000000000000057,0.09999999999999432,
1958-06-01,70.4,-10.099999999999994,2.9000000000000057,
1958-07-01,74.8,4.3999999999999915,-0.9000000000000057,
1958-08-01,75.9,1.1000000000000085,4.800000000000011,
1958-09-01,86.3,10.399999999999991,-3.0,
1958-10-01,98.7,12.400000000000006,-2.3999999999999915,
1958-11-01,100.9,2.200000000000003,-4.299999999999997,
1958-12-01,113.8,12.899999999999991,-0.29999999999999716,
1959-01-01,89.8,-24.0,-6.5,
1959-02-01,84.4,-5.3999999999999915,0.0,
1959-03-01,87.2,2.799999999999997,-4.0,
1959-04-01,85.6,-1.6000000000000085,3.6999999999999886,
1959-05-01,72.0,-13.599999999999994,-8.5,
1959-06-01,69.2,-2.799999999999997,-1.2000000000000028,
1959-07-01,77.5,8.299999999999997,2.700000000000003,
1959-08-01,78.1,0.5999999999999943,2.1999999999999886,
1959-09-01,94.3,16.200000000000003,8.0,
1959-10-01,97.7,3.4000000000000057,-1.0,
1959-11-01,100.2,2.5,-0.7000000000000028,
1959-12-01,116.4,16.200000000000003,2.6000000000000085,
1960-01-01,97.1,-19.30000000000001,7.299999999999997,
1960-02-01,93.0,-4.099999999999994,8.599999999999994,
1960-03-01,96.0,3.0,8.799999999999997,
1960-04-01,80.5,-15.5,-5.099999999999994,
1960-05-01,76.1,-4.400000000000006,4.099999999999994,
1960-06-01,69.9,-6.199999999999989,0.7000000000000028,
1960-07-01,73.6,3.6999999999999886,-3.9000000000000057,
1960-08-01,92.6,19.0,14.5,
1960-09-01,94.2,1.6000000000000085,-0.09999999999999432,
1960-10-01,93.5,-0.7000000000000028,-4.200000000000003,
1960-11-01,108.5,15.0,8.299999999999997,
1960-12-01,109.4,0.9000000000000057,-7.0,
1961-01-01,105.1,-4.300000000000011,8.0,
1961-02-01,92.5,-12.599999999999994,-0.5,
1961-03-01,97.1,4.599999999999994,1.0999999999999943,
1961-04-01,81.4,-15.699999999999989,0.9000000000000057,
1961-05-01,79.1,-2.3000000000000114,3.0,
1961-06-01,72.1,-7.0,2.1999999999999886,
1961-07-01,78.7,6.6000000000000085,5.1000000000000085,
1961-08-01,87.1,8.399999999999991,-5.5,
1961-09-01,91.4,4.300000000000011,-2.799999999999997,
1961-10-01,109.9,18.5,16.400000000000006,
1961-11-01,116.3,6.3999999999999915,7.799999999999997,
1961-12-01,113.0,-3.299999999999997,3.5999999999999943,
1962-01-01,100.0,-13.0,-5.099999999999994,
1962-02-01,84.8,-15.200000000000003,-7.700000000000003,
1962-03-01,94.3,9.5,-2.799999999999997,
1962-04-01,87.1,-7.200000000000003,5.699999999999989,
1962-05-01,90.3,3.200000000000003,11.200000000000003,
1962-06-01,72.4,-17.89999999999999,0.30000000000001137,
1962-07-01,84.9,12.5,6.200000000000003,
1962-08-01,92.7,7.799999999999997,5.6000000000000085,
1962-09-01,92.2,-0.5,0.7999999999999972,
1962-10-01,114.9,22.700000000000003,5.0,
1962-11-01,112.5,-2.4000000000000057,-3.799999999999997,
1962-12-01,118.3,5.799999999999997,5.299999999999997,
1963-01-01,106.0,-12.299999999999997,6.0,
1963-02-01,91.2,-14.799999999999997,6.400000000000006,
1963-03-01,96.6,5.3999999999999915,2.299999999999997,
1963-04-01,96.3,-0.29999999999999716,9.200000000000003,
1963-05-01,88.2,-8.099999999999994,-2.0999999999999943,
1963-06-01,70.2,-18.0,-2.200000000000003,
1963-07-01,86.5,16.299999999999997,1.5999999999999943,
1963-08-01,88.2,1.7000000000000028,-4.5,
1963-09-01,102.8,14.599999999999994,10.599999999999994,
1963-10-01,119.1,16.299999999999997,4.199999999999989,
1963-11-01,119.2,0.10000000000000853,6.700000000000003,
1963-12-01,125.1,5.8999999999999915,6.799999999999997,
1964-01-01,106.1,-19.0,0.09999999999999432,
1964-02-01,102.1,-4.0,10.899999999999991,
1964-03-01,105.2,3.1000000000000085,8.600000000000009,
1964-04-01,101.0,-4.200000000000003,4.700000000000003,
1964-05-01,84.3,-16.700000000000003,-3.9000000000000057,
1964-06-01,87.5,3.200000000000003,17.299999999999997,
1964-07-01,92.7,5.200000000000003,6.200000000000003,
1964-08-01,94.4,1.7000000000000028,6.200000000000003,
1964-09-01,113.0,18.599999999999994,10.200000000000003,
1964-10-01,113.9,0.9000000000000057,-5.199999999999989,
1964-11-01,122.9,9.0,3.700000000000003,
1964-12-01,132.7,9.799999999999983,7.599999999999994,
1965-01-01,106.9,-25.799999999999983,0.8000000000000114,
1965-02-01,96.6,-10.300000000000011,-5.5,
1965-03-01,127.3,30.700000000000003,22.099999999999994,
1965-04-01,98.2,-29.099999999999994,-2.799999999999997,
1965-05-01,100.2,2.0,15.900000000000006,
1965-06-01,89.4,-10.799999999999997,1.9000000000000057,
1965-07-01,95.3,5.8999999999999915,2.5999999999999943,
1965-08-01,104.2,8.900000000000006,9.799999999999997,
1965-09-01,106.4,2.200000000000003,-6.599999999999994,
1965-10-01,116.2,9.799999999999997,2.299999999999997,
1965-11-01,135.9,19.700000000000003,13.0,
1965-12-01,134.0,-1.9000000000000057,1.3000000000000114,
1966-01-01,104.6,-29.400000000000006,-2.3000000000000114,
1966-02-01,107.1,2.5,10.5,
1966-03-01,123.5,16.400000000000006,-3.799999999999997,
1966-04-01,98.8,-24.700000000000003,0.5999999999999943,
1966-05-01,98.6,-0.20000000000000284,-1.6000000000000085,
1966-06-01,90.6,-8.0,1.1999999999999886,
1966-07-01,89.1,-1.5,-6.200000000000003,
1966-08-01,105.2,16.10000000000001,1.0,
1966-09-01,114.0,8.799999999999997,7.599999999999994,
1966-10-01,122.1,8.099999999999994,5.8999999999999915,
1966-11-01,138.0,15.900000000000006,2.0999999999999943,
1966-12-01,142.2,4.199999999999989,8.199999999999989,
1967-01-01,116.4,-25.799999999999983,11.800000000000011,
1967-02-01,112.6,-3.8000000000000114,5.5,
1967-03-01,123.8,11.200000000000003,0.29999999999999716,
1967-04-01,103.6,-20.200000000000003,4.799999999999997,
1967-05-01,113.9,10.300000000000011,15.300000000000011,
1967-06-01,98.6,-15.300000000000011,8.0,
1967-07-01,95.0,-3.5999999999999943,5.900000000000006,
1967-08-01,116.0,21.0,10.799999999999997,
1967-09-01,113.9,-2.0999999999999943,-0.09999999999999432,
1967-10-01,127.5,13.599999999999994,5.400000000000006,
1967-11-01,131.4,3.9000000000000057,-6.599999999999994,
1967-12-01,145.9,14.5,3.700000000000017,
1968-01-01,131.5,-14.400000000000006,15.099999999999994,
1968-02-01,131.0,-0.5,18.400000000000006,
1968-03-01,130.5,-0.5,6.700000000000003,
1968-04-01,118.9,-11.599999999999994,15.300000000000011,
1968-05-01,114.3,-4.6000000000000085,0.3999999999999915,
1968-06-01,85.7,-28.599999999999994,-12.899999999999991,
1968-07-01,104.6,18.89999999999999,9.599999999999994,
1968-08-01,105.1,0.5,-10.900000000000006,
1968-09-01,117.3,12.200000000000003,3.3999999999999915,
1968-10-01,142.5,25.200000000000003,15.0,
1968-11-01,140.0,-2.5,8.599999999999994,
1968-12-01,159.8,19.80000000000001,13.900000000000006,
1969-01-01,131.2,-28.600000000000023,-0.30000000000001137,
1969-02-01,125.4,-5.799999999999983,-5.599999999999994,
1969-03-01,126.5,1.0999999999999943,-4.0,
1969-04-01,119.4,-7.099999999999994,0.5,
1969-05-01,113.5,-5.900000000000006,-0.7999999999999972,
1969-06-01,98.7,-14.799999999999997,13.0,
1969-07-01,114.5,15.799999999999997,9.900000000000006,
1969-08-01,113.8,-0.7000000000000028,8.700000000000003,
1969-09-01,133.1,19.299999999999997,15.799999999999997,
1969-10-01,143.4,10.300000000000011,0.9000000000000057,
1969-11-01,137.3,-6.099999999999994,-2.6999999999999886,
1969-12-01,165.2,27.899999999999977,5.399999999999977,
1970-01-01,126.9,-38.29999999999998,-4.299999999999983,
1970-02-01,124.0,-2.9000000000000057,-1.4000000000000057,
1970-03-01,135.7,11.699999999999989,9.199999999999989,
1970-04-01,130.0,-5.699999999999989,10.599999999999994,
1970-05-01,109.4,-20.599999999999994,-4.099999999999994,
1970-06-01,117.8,8.399999999999991,19.099999999999994,
1970-07-01,120.3,2.5,5.799999999999997,
1970-08-01,121.0,0.7000000000000028,7.200000000000003,
1970-09-01,132.3,11.300000000000011,-0.799999999999983,
1970-10-01,142.9,10.599999999999994,-0.5,
1970-11-01,147.4,4.5,10.099999999999994,
1970-12-01,175.9,28.5,10.700000000000017,
1971-01-01,132.6,-43.30000000000001,5.699999999999989,
1971-02-01,123.7,-8.899999999999991,-0.29999999999999716,
1971-03-01,153.3,29.60000000000001,17.600000000000023,
1971-04-01,134.0,-19.30000000000001,4.0,
1971-05-01,119.6,-14.400000000000006,10.199999999999989,
1971-06-01,116.2,-3.3999999999999915,-1.5999999999999943,
1971-07-01,118.6,2.3999999999999915,-1.7000000000000028,
1971-08-01,130.7,12.099999999999994,9.699999999999989,
1971-09-01,129.3,-1.3999999999999773,-3.0,
1971-10-01,144.4,15.099999999999994,1.5,
1971-11-01,163.2,18.799999999999983,15.799999999999983,
1971-12-01,179.4,16.200000000000017,3.5,
1972-01-01,128.1,-51.30000000000001,-4.5,
1972-02-01,138.4,10.300000000000011,14.700000000000003,
1972-03-01,152.7,14.299999999999983,-0.6000000000000227,
1972-04-01,120.0,-32.69999999999999,-14.0,
1972-05-01,140.5,20.5,20.900000000000006,
1972-06-01,116.2,-24.299999999999997,0.0,
1972-07-01,121.4,5.200000000000003,2.8000000000000114,
1972-08-01,127.8,6.3999999999999915,-2.8999999999999915,
1972-09-01,143.6,15.799999999999997,14.299999999999983,
1972-10-01,157.6,14.0,13.199999999999989,
1972-11-01,166.2,8.599999999999994,3.0,
1972-12-01,182.3,16.100000000000023,2.9000000000000057,
1973-01-01,153.1,-29.200000000000017,25.0,
1973-02-01,147.6,-5.5,9.199999999999989,
1973-03-01,157.7,10.099999999999994,5.0,
1973-04-01,137.2,-20.5,17.19999999999999,
1973-05-01,151.5,14.300000000000011,11.0,
1973-06-01,98.7,-52.8,-17.5,
1973-07-01,145.8,47.10000000000001,24.400000000000006,
1973-08-01,151.7,5.899999999999977,23.89999999999999,
1973-09-01,129.4,-22.299999999999983,-14.199999999999989,
1973-10-01,174.1,44.69999999999999,16.5,
1973-11-01,197.0,22.900000000000006,30.80000000000001,
1973-12-01,193.9,-3.0999999999999943,11.599999999999994,
1974-01-01,164.1,-29.80000000000001,11.0,
1974-02-01,142.8,-21.299999999999983,-4.799999999999983,
1974-03-01,157.9,15.099999999999994,0.20000000000001705,
1974-04-01,159.2,1.299999999999983,22.0,
1974-05-01,162.2,3.0,10.699999999999989,
1974-06-01,123.1,-39.099999999999994,24.39999999999999,
1974-07-01,130.0,6.900000000000006,-15.800000000000011,
1974-08-01,150.1,20.099999999999994,-1.5999999999999943,
1974-09-01,169.4,19.30000000000001,40.0,
1974-10-01,179.7,10.299999999999983,5.599999999999994,
1974-11-01,182.1,2.4000000000000057,-14.900000000000006,
1974-12-01,194.3,12.200000000000017,0.4000000000000057,
1975-01-01,161.4,-32.900000000000006,-2.6999999999999886,
1975-02-01,169.4,8.0,26.599999999999994,
1975-03-01,168.8,-0.5999999999999943,10.900000000000006,
1975-04-01,158.1,-10.700000000000017,-1.0999999999999943,
1975-05-01,158.5,0.4000000000000057,-3.6999999999999886,
1975-06-01,135.3,-23.19999999999999,12.200000000000017,
1975-07-01,149.3,14.0,19.30000000000001,
1975-08-01,143.4,-5.900000000000006,-6.699999999999989,
1975-09-01,142.2,-1.200000000000017,-27.200000000000017,
1975-10-01,188.4,46.20000000000002,8.700000000000017,
1975-11-01,166.2,-22.200000000000017,-15.900000000000006,
1975-12-01,199.2,33.0,4.899999999999977,
1976-01-01,182.7,-16.5,21.299999999999983,
1976-02-01,145.2,-37.5,-24.200000000000017,
1976-03-01,182.1,36.900000000000006,13.299999999999983,
1976-04-01,158.7,-23.400000000000006,0.5999999999999943,
1976-05-01,141.6,-17.099999999999994,-16.900000000000006,
1976-06-01,132.6,-9.0,-2.700000000000017,
1976-07-01,139.6,7.0,-9.700000000000017,
1976-08-01,147.0,7.400000000000006,3.5999999999999943,
1976-09-01,166.6,19.599999999999994,24.400000000000006,
1976-10-01,157.0,-9.599999999999994,-31.400000000000006,
1976-11-01,180.4,23.400000000000006,14.200000000000017,
1976-12-01,210.2,29.799999999999983,11.0,
1977-01-01,159.8,-50.39999999999998,-22.899999999999977,
1977-02-01,157.8,-2.0,12.600000000000023,
1977-03-01,168.2,10.399999999999977,-13.900000000000006,
1977-04-01,158.4,-9.799999999999983,-0.29999999999998295,
1977-05-01,152.0,-6.400000000000006,10.400000000000006,
1977-06-01,142.2,-9.800000000000011,9.599999999999994,
1977-07-01,137.2,-5.0,-2.4000000000000057,
1977-08-01,152.6,15.400000000000006,5.599999999999994,
1977-09-01,166.8,14.200000000000017,0.20000000000001705,
1977-10-01,165.6,-1.200000000000017,8.599999999999994,
1977-11-01,198.6,33.0,18.19999999999999,
1977-12-01,201.5,2.9000000000000057,-8.699999999999989,
1978-01-01,170.7,-30.80000000000001,10.899999999999977,
1978-02-01,164.4,-6.299999999999983,6.599999999999994,
1978-03-01,179.7,15.299999999999983,11.5,
1978-04-01,157.0,-22.69999999999999,-1.4000000000000057,
1978-05-01,168.0,11.0,16.0,
1978-06-01,139.3,-28.69999999999999,-2.8999999999999773,
1978-07-01,138.6,-0.700000000000017,1.4000000000000057,
1978-08-01,153.4,14.800000000000011,0.8000000000000114,
1978-09-01,138.9,-14.5,-27.900000000000006,
1978-10-01,172.1,33.19999999999999,6.5,
1978-11-01,198.4,26.30000000000001,-0.19999999999998863,
1978-12-01,217.8,19.400000000000006,16.30000000000001,
1979-01-01,173.7,-44.10000000000002,3.0,
1979-02-01,153.8,-19.899999999999977,-10.599999999999994,
1979-03-01,175.6,21.799999999999983,-4.099999999999994,
1979-04-01,147.1,-28.5,-9.900000000000006,
1979-05-01,160.3,13.200000000000017,-7.699999999999989,
1979-06-01,135.2,-25.100000000000023,-4.100000000000023,
1979-07-01,148.8,13.600000000000023,10.200000000000017,
1979-08-01,151.0,2.1999999999999886,-2.4000000000000057,
1979-09-01,148.2,-2.8000000000000114,9.299999999999983,
1979-10-01,182.2,34.0,10.099999999999994,
1979-11-01,189.2,7.0,-9.200000000000017,
1979-12-01,183.1,-6.099999999999994,-34.70000000000002,
1980-01-01,170.0,-13.099999999999994,-3.6999999999999886,
1980-02-01,158.4,-11.599999999999994,4.599999999999994,
1980-03-01,176.1,17.69999999999999,0.5,
1980-04-01,156.2,-19.900000000000006,9.099999999999994,
1980-05-01,153.2,-3.0,-7.100000000000023,
1980-06-01,117.9,-35.29999999999998,-17.299999999999983,
1980-07-01,149.8,31.900000000000006,1.0,
1980-08-01,156.6,6.799999999999983,5.599999999999994,
1980-09-01,166.7,10.099999999999994,18.5,
1980-10-01,156.8,-9.899999999999977,-25.399999999999977,
1980-11-01,158.6,1.799999999999983,-30.599999999999994,
1980-12-01,210.8,52.20000000000002,27.700000000000017,
1981-01-01,203.6,-7.200000000000017,33.599999999999994,
1981-02-01,175.2,-28.400000000000006,16.799999999999983,
1981-03-01,168.7,-6.5,-7.400000000000006,
1981-04-01,155.9,-12.799999999999983,-0.29999999999998295,
1981-05-01,147.3,-8.599999999999994,-5.899999999999977,
1981-06-01,137.0,-10.300000000000011,19.099999999999994,
1981-07-01,141.1,4.099999999999994,-8.700000000000017,
1981-08-01,167.4,26.30000000000001,10.800000000000011,
1981-09-01,160.2,-7.200000000000017,-6.5,
1981-10-01,191.9,31.700000000000017,35.099999999999994,
1981-11-01,174.4,-17.5,15.800000000000011,
1981-12-01,208.2,33.79999999999998,-2.6000000000000227,
1982-01-01,159.4,-48.79999999999998,-44.19999999999999,
1982-02-01,161.1,1.6999999999999886,-14.099999999999994,
1982-03-01,172.1,11.0,3.4000000000000057,
1982-04-01,158.4,-13.699999999999989,2.5,
1982-05-01,114.6,-43.80000000000001,-32.70000000000002,
1982-06-01,159.6,45.0,22.599999999999994,
1982-07-01,159.7,0.09999999999999432,18.599999999999994,
1982-08-01,159.4,-0.29999999999998295,-8.0,
1982-09-01,160.7,1.299999999999983,0.5,
1982-10-01,165.5,4.800000000000011,-26.400000000000006,
1982-11-01,205.0,39.5,30.599999999999994,
1982-12-01,205.2,0.19999999999998863,-3.0,
1983-01-01,141.6,-63.599999999999994,-17.80000000000001,
1983-02-01,148.1,6.5,-13.0,
1983-03-01,184.9,36.80000000000001,12.800000000000011,
1983-04-01,132.5,-52.400000000000006,-25.900000000000006,
1983-05-01,137.3,4.800000000000011,22.700000000000017,
1983-06-01,135.5,-1.8000000000000114,-24.099999999999994,
1983-07-01,121.7,-13.799999999999997,-37.999999999999986,
1983-08-01,166.1,44.39999999999999,6.699999999999989,
1983-09-01,146.8,-19.299999999999983,-13.899999999999977,
1983-10-01,162.8,16.0,-2.6999999999999886,
1983-11-01,186.8,24.0,-18.19999999999999,
1983-12-01,185.5,-1.3000000000000114,-19.69999999999999,
1984-01-01,151.5,-34.0,9.900000000000006,
1984-02-01,158.1,6.599999999999994,10.0,
1984-03-01,143.0,-15.099999999999994,-41.900000000000006,
1984-04-01,151.2,8.199999999999989,18.69999999999999,
1984-05-01,147.6,-3.5999999999999943,10.299999999999983,
1984-06-01,130.7,-16.900000000000006,-4.800000000000011,
1984-07-01,137.5,6.800000000000011,15.799999999999997,
1984-08-01,146.1,8.599999999999994,-20.0,
1984-09-01,133.6,-12.5,-13.200000000000017,
1984-10-01,167.9,34.30000000000001,5.099999999999994,
1984-11-01,181.9,14.0,-4.900000000000006,
1984-12-01,202.0,20.099999999999994,16.5,
1985-01-01,166.5,-35.5,15.0,
1985-02-01,151.3,-15.199999999999989,-6.799999999999983,
1985-03-01,146.2,-5.100000000000023,3.1999999999999886,
1985-04-01,148.3,2.1000000000000227,-2.8999999999999773,
1985-05-01,144.7,-3.6000000000000227,-2.9000000000000057,
1985-06-01,123.6,-21.099999999999994,-7.099999999999994,
1985-07-01,151.6,28.0,14.099999999999994,
1985-08-01,133.9,-17.69999999999999,-12.199999999999989,
1985-09-01,137.4,3.5,3.8000000000000114,
1985-10-01,181.6,44.19999999999999,13.699999999999989,
1985-11-01,182.0,0.4000000000000057,0.09999999999999432,
1985-12-01,190.0,8.0,-12.0,
1986-01-01,161.2,-28.80000000000001,-5.300000000000011,
1986-02-01,155.5,-5.699999999999989,4.199999999999989,
1986-03-01,141.9,-13.599999999999994,-4.299999999999983,
1986-04-01,164.6,22.69999999999999,16.299999999999983,
1986-05-01,136.2,-28.400000000000006,-8.5,
1986-06-01,126.8,-9.399999999999991,3.200000000000003,
1986-07-01,152.5,25.700000000000003,0.9000000000000057,
1986-08-01,126.6,-25.900000000000006,-7.300000000000011,
1986-09-01,150.1,23.5,12.699999999999989,
1986-10-01,186.3,36.20000000000002,4.700000000000017,
1986-11-01,147.5,-38.80000000000001,-34.5,
1986-12-01,200.4,52.900000000000006,10.400000000000006,
1987-01-01,177.2,-23.200000000000017,16.0,
1987-02-01,127.4,-49.79999999999998,-28.099999999999994,
1987-03-01,177.1,49.69999999999999,35.19999999999999,
1987-04-01,154.4,-22.69999999999999,-10.199999999999989,
1987-05-01,135.2,-19.200000000000017,-1.0,
1987-06-01,126.4,-8.799999999999983,-0.3999999999999915,
1987-07-01,147.3,20.900000000000006,-5.199999999999989,
1987-08-01,140.6,-6.700000000000017,14.0,
1987-09-01,152.3,11.700000000000017,2.200000000000017,
1987-10-01,151.2,-1.1000000000000227,-35.10000000000002,
1987-11-01,172.2,21.0,24.69999999999999,
1987-12-01,215.3,43.10000000000002,14.900000000000006,
1988-01-01,154.1,-61.20000000000002,-23.099999999999994,
1988-02-01,159.3,5.200000000000017,31.900000000000006,
1988-03-01,160.4,1.0999999999999943,-16.69999999999999,
1988-04-01,151.9,-8.5,-2.5,
1988-05-01,148.4,-3.5,13.200000000000017,
1988-06-01,139.6,-8.800000000000011,13.199999999999989,
1988-07-01,148.2,8.599999999999994,0.8999999999999773,
1988-08-01,153.5,5.300000000000011,12.900000000000006,
1988-09-01,145.1,-8.400000000000006,-7.200000000000017,
1988-10-01,183.7,38.599999999999994,32.5,
1988-11-01,210.5,26.80000000000001,38.30000000000001,
1988-12-01,203.3,-7.199999999999989,-12.0,
1989-01-01,153.3,-50.0,-0.799999999999983,
1989-02-01,144.3,-9.0,-15.0,
1989-03-01,169.6,25.299999999999983,9.199999999999989,
1989-04-01,143.7,-25.900000000000006,-8.200000000000017,
1989-05-01,160.1,16.400000000000006,11.699999999999989,
1989-06-01,135.6,-24.5,-4.0,
1989-07-01,141.8,6.200000000000017,-6.399999999999977,
1989-08-01,159.9,18.099999999999994,6.400000000000006,
1989-09-01,145.7,-14.200000000000017,0.5999999999999943,
1989-10-01,183.5,37.80000000000001,-0.19999999999998863,
1989-11-01,198.2,14.699999999999989,-12.300000000000011,
1989-12-01,186.8,-11.399999999999977,-16.5,
1990-01-01,172.0,-14.800000000000011,18.69999999999999,
1990-02-01,150.6,-21.400000000000006,6.299999999999983,
1990-03-01,163.3,12.700000000000017,-6.299999999999983,
1990-04-01,153.7,-9.600000000000023,10.0,
1990-05-01,152.9,-0.799999999999983,-7.199999999999989,
1990-06-01,135.5,-17.400000000000006,-0.09999999999999432,
1990-07-01,148.5,13.0,6.699999999999989,
1990-08-01,148.4,-0.09999999999999432,-11.5,
1990-09-01,133.6,-14.800000000000011,-12.099999999999994,
1990-10-01,194.1,60.5,10.599999999999994,
1990-11-01,208.6,14.5,10.400000000000006,
1990-12-01,197.3,-11.299999999999983,10.5,
1991-01-01,164.4,-32.900000000000006,-7.599999999999994,
1991-02-01,148.1,-16.30000000000001,-2.5,
1991-03-01,152.0,3.9000000000000057,-11.300000000000011,
1991-04-01,144.1,-7.900000000000006,-9.599999999999994,
1991-05-01,155.0,10.900000000000006,2.0999999999999943,
1991-06-01,124.5,-30.5,-11.0,
1991-07-01,153.0,28.5,4.5,
1991-08-01,146.0,-7.0,-2.4000000000000057,
1991-09-01,138.0,-8.0,4.400000000000006,
1991-10-01,190.0,52.0,-4.099999999999994,
1991-11-01,192.0,2.0,-16.599999999999994,
1991-12-01,192.0,0.0,-5.300000000000011,
1992-01-01,147.0,-45.0,-17.400000000000006,
1992-02-01,133.0,-14.0,-15.099999999999994,
1992-03-01,163.0,30.0,11.0,
1992-04-01,150.0,-13.0,5.900000000000006,
1992-05-01,129.0,-21.0,-26.0,
1992-06-01,131.0,2.0,6.5,
1992-07-01,145.0,14.0,-8.0,
1992-08-01,137.0,-8.0,-9.0,
1992-09-01,138.0,1.0,0.0,
1992-10-01,168.0,30.0,-22.0,
1992-11-01,176.0,8.0,-16.0,
1992-12-01,188.0,12.0,-4.0,
1993-01-01,139.0,-49.0,-8.0,
1993-02-01,143.0,4.0,10.0,
1993-03-01,150.0,7.0,-13.0,
1993-04-01,154.0,4.0,4.0,
1993-05-01,137.0,-17.0,8.0,
1993-06-01,129.0,-8.0,-2.0,
1993-07-01,128.0,-1.0,-17.0,
1993-08-01,140.0,12.0,3.0,
1993-09-01,143.0,3.0,5.0,
1993-10-01,151.0,8.0,-17.0,
1993-11-01,177.0,26.0,1.0,
1993-12-01,184.0,7.0,-4.0,
1994-01-01,151.0,-33.0,12.0,
1994-02-01,134.0,-17.0,-9.0,
1994-03-01,164.0,30.0,14.0,
1994-04-01,126.0,-38.0,-28.0,
1994-05-01,131.0,5.0,-6.0,
1994-06-01,125.0,-6.0,-4.0,
1994-07-01,127.0,2.0,-1.0,
1994-08-01,143.0,16.0,3.0,
1994-09-01,143.0,0.0,0.0,
1994-10-01,160.0,17.0,9.0,
1994-11-01,190.0,30.0,13.0,
1994-12-01,182.0,-8.0,-2.0,
1995-01-01,138.0,-44.0,-13.0,
1995-02-01,136.0,-2.0,2.0,
1995-03-01,152.0,16.0,-12.0,
1995-04-01,127.0,-25.0,1.0,
1995-05-01,151.0,24.0,20.0,
1995-06-01,130.0,-21.0,5.0,
1995-07-01,119.0,-11.0,-8.0,
1995-08-01,153.0,34.0,10.0,
1995-09-01,,,,129.22915240518338
1995-10-01,,,,163.88409147941547
1995-11-01,,,,185.05251972560544
1995-12-01,,,,177.27689250735642
1996-01-01,,,,146.3299239714827
1996-02-01,,,,138.77823865039065
1996-03-01,,,,144.95980783362785
1996-04-01,,,,138.81696757212404
1996-05-01,,,,138.51498712894727
1996-06-01,,,,117.05873627588103
1996-07-01,,,,133.05973867000657
1996-08-01,,,,140.0872572101123
1996-09-01,,,,127.56685804008748
1996-10-01,,,,167.45899829229958
1996-11-01,,,,178.232229433398
1996-12-01,,,,176.7143286164036
1997-01-01,,,,149.4687315602309
1997-02-01,,,,131.64166520985523
1997-03-01,,,,146.13618033334404
1997-04-01,,,,140.0521007213346
1997-05-01,,,,131.17058074442585
1997-06-01,,,,118.99636217994617
1997-07-01,,,,133.31883129549428
1997-08-01,,,,133.39286787369426
1997-09-01,,,,130.72367505775728
1997-10-01,,,,166.18166553764357
1997-11-01,,,,172.6479504827689
1997-12-01,,,,180.31388433994562
1998-01-01,,,,146.4719753401333
1998-02-01,,,,126.89979160807326
1998-03-01,,,,149.80015866825684
1998-04-01,,,,135.97070066051458
1998-05-01,,,,128.03027479336237
1998-06-01,,,,122.73119877530507
1998-07-01,,,,128.11582089530978
1998-08-01,,,,131.45032398137158
1998-09-01,,,,133.57968647671208
1998-10-01,,,,160.53731953485865
1998-11-01,,,,171.77283012078814
1998-12-01,,,,182.45550939381832
1999-01-01,,,,140.5345980924886
1999-02-01,,,,127.33745136431497
1999-03-01,,,,150.86005453730388
1999-04-01,,,,130.08808167893318
1999-05-01,,,,129.30064930727087
1999-06-01,,,,122.54549513723603
1999-07-01,,,,122.58749746816275
1999-08-01,,,,133.49019881919793
1999-09-01,,,,132.32376042070825
1999-10-01,,,,155.49257080918926
1999-11-01,,,,174.3739238701638
1999-12-01,,,,180.0531147774768
2000-01-01,,,,136.3362398189248
2000-02-01,,,,130.11204965192238
2000-03-01,,,,147.44704228881415
2000-04-01,,,,126.87194740471806
2000-05-01,,,,131.93389983477698
2000-06-01,,,,118.30084508149932
2000-07-01,,,,120.44809922383436
2000-08-01,,,,135.71580360216757
